,Population,Accuracy Score,F1_score_macro,F1_score_weighted,Model
0,all,0.4355210337537709,0.36819820611598963,0.41562828757303166,HistGradientBoost
1,194.0,0.38865629196619006,0.2695782854419885,0.34473413101158334,HistGradientBoost
2,140.0,0.43058274669887947,0.22987131914543737,0.3860803763281606,HistGradientBoost
3,750.0,0.29663248988806323,0.24881551088595044,0.2697161898036858,HistGradientBoost
4,463.0,0.47772128369143296,0.2348161627088802,0.4268023940926169,HistGradientBoost
5,302.0,0.6157014780712382,0.471203303272493,0.6038537503286228,HistGradientBoost
6,all,0.2768553488998155,0.061950265803598546,0.1200588371744411,DummyClassifier - Most Frequent
7,all,0.1430754491397262,0.13177775167969003,0.15477638247224637,DummyClassifier - Random
8,194.0,0.32872528109118676,0.07068542325473422,0.1626525993992341,DummyClassifier - Most Frequent
9,194.0,0.1415856966058404,0.1270497274665547,0.15612933960150624,DummyClassifier - Random
10,140.0,0.37605698337984755,0.07808168825271898,0.20554214899066225,DummyClassifier - Most Frequent
11,140.0,0.13916774274170035,0.11344714612936732,0.16469175241238176,DummyClassifier - Random
12,750.0,0.2216160285956166,0.05183205183205184,0.08040769436687037,DummyClassifier - Most Frequent
13,750.0,0.1424607280594488,0.13784155808652707,0.14682169854930552,DummyClassifier - Random
14,463.0,0.3944016182822153,0.0808132859103257,0.22311023519215065,DummyClassifier - Most Frequent
15,463.0,0.1457000710732054,0.11355923998361904,0.17737115125210964,DummyClassifier - Random
16,302.0,0.2742508682658913,0.06149290762481267,0.11805138315809385,DummyClassifier - Most Frequent
17,302.0,0.1426782973911639,0.11661181078840167,0.16836513280526655,DummyClassifier - Random
