Population,Model,Accuracy,F1_Macro,F1_Weighted
All,RandomForestClassifier,0.6299502128306476,0.24986463194929268,0.6559721968528883
194.0,RandomForestClassifier,0.5717761557177615,0.1901706536643528,0.59666887372051
140.0,RandomForestClassifier,0.5626125699118399,0.19178205121705072,0.5947277005100251
750.0,RandomForestClassifier,0.29245442745075906,0.18791540003723659,0.3202954514977895
463.0,RandomForestClassifier,0.6542019287541823,0.182035249320575,0.6845469548410994
302.0,RandomForestClassifier,0.8619820692997334,0.25084483308496225,0.8922114737743416
All,DummyClassifier - Most Frequent,0.6552713590757069,0.11310555654867822,0.5188038223106661
All,DummyClassifier - Random,0.14424027059896624,0.07885456779932609,0.2094020550891278
194.0,DummyClassifier - Most Frequent,0.6390179163901791,0.11139386928860613,0.4982787477601154
194.0,DummyClassifier - Random,0.14307833285935476,0.07156305902807396,0.21456918698822933
140.0,DummyClassifier - Most Frequent,0.7319304208737378,0.14086986637420992,0.6186416435022162
140.0,DummyClassifier - Random,0.14185744276716986,0.06516949503750204,0.21873954298534914
750.0,DummyClassifier - Most Frequent,0.45341159207630227,0.08913247277709671,0.28289587471292765
750.0,DummyClassifier - Random,0.14261527174219765,0.10778748812125329,0.17757425569283442
463.0,DummyClassifier - Most Frequent,0.7602834087777997,0.14396988670244484,0.6567474973409303
463.0,DummyClassifier - Random,0.13862100636357672,0.06293283951744186,0.21460400711788966
302.0,DummyClassifier - Most Frequent,0.9464017446086745,0.1620771503502307,0.9203405871159649
302.0,DummyClassifier - Random,0.17160164768597044,0.06205580984871739,0.27964918730451716
