,Model,Transformation,all_r2_scores,avg_r2_score,all_mae_scores,avg_mae_score,all_mse_scores,avg_mse_score
0,RidgeRegression,Box-Cox,[0.17875539 0.22338625 0.21091905 0.21067128 0.20247502 0.20361044],0.20496957336334862,[-3.53879777 -3.42265105 -3.43905036 -3.46901827 -3.48974885 -3.47824076],-3.472917844130492,"[-70.02806857 -61.11953481 -58.52907517 -58.03981072 -62.74992715
 -64.99569949]",-62.57701931926848
1,GradientBoostedRegressor,Box-Cox,[0.1815206  0.21908498 0.20814991 0.20926201 0.20496867 0.20391278],0.20448316031053046,[-3.49106446 -3.37743465 -3.39989533 -3.43579498 -3.44621289 -3.44061129],-3.431835599053951,"[-69.79227734 -61.45804504 -58.73447276 -58.14343487 -62.55372432
 -64.97102492]",-62.60882987520488
2,RidgeRegression,Log Transform,[0.20579613 0.24958993 0.23809939 0.23748449 0.23110315 0.22902873],0.23185030501691753,[-3.50837806 -3.39655722 -3.41913643 -3.4421334  -3.46754973 -3.45581036],-3.4482608668490617,"[-67.72228757 -59.05730418 -56.51300806 -56.06821914 -60.49744168
 -62.92123791]",-60.463249755585345
3,GradientBoostedRegressor,Log Transform,[0.21328871 0.25227397 0.24026975 0.24624951 0.23752876 0.23780331],0.23790233489737936,[-3.45517458 -3.3443022  -3.3734137  -3.40599013 -3.419794   -3.4039935 ],-3.400444686681626,"[-67.08338967 -58.84607013 -56.35202445 -55.42372242 -59.99187001
 -62.20511882]",-59.98369925149359
4,RidgeRegression,Square Root,[0.25492016 0.29817314 0.28552315 0.28552441 0.28234391 0.27528443],0.2802948655240715,[-3.55657823 -3.4519834  -3.47994118 -3.49603677 -3.52345745 -3.51150006],-3.503249515028416,"[-63.53344901 -55.23380387 -52.99541154 -52.53581503 -56.46577642
 -59.14617438]",-56.65173837662339
5,GradientBoostedRegressor,Square Root,[0.26515285 0.30897675 0.2941535  0.30578771 0.296205   0.29927552],0.29492522194942855,[-3.49725327 -3.37478584 -3.41891676 -3.42723998 -3.44768663 -3.413358  ],-3.429873412402809,"[-62.66090029 -54.38355888 -52.35526615 -51.0458427  -55.37517441
 -57.18819096]",-55.50148889781357
